id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_kubis,satuan,tahun,jenis_produksi
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,469,TON,2020,kubis
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9477,TON,2020,kubis
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,14019,TON,2020,kubis
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,82365,TON,2020,kubis
194,32,JAWA BARAT,3205,KABUPATEN GARUT,119340,TON,2020,kubis
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1092,TON,2020,kubis
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,686,TON,2020,kubis
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1104,TON,2020,kubis
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2020,kubis
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5607,TON,2020,kubis
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8212,TON,2020,kubis
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2020,kubis
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,480,TON,2020,kubis
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,57,TON,2020,kubis
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2020,kubis
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2020,kubis
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5840,TON,2020,kubis
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,20,TON,2020,kubis
208,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2020,kubis
209,32,JAWA BARAT,3272,KOTA SUKABUMI,34,TON,2020,kubis
210,32,JAWA BARAT,3273,KOTA BANDUNG,123,TON,2020,kubis
211,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2020,kubis
